Building Name,Filename,Coordinates,Date,Metadata tags,Notes/Description/Caption,,
Mechanical Hall,3534027820_17991cb32e_o.jpg,"30.616241197914977, -96.34110051333646",1883,,Drawing of Mechanical Hall,,
Military Walk,3481081934_d18eb9352f_o,"30.615915800568015, -96.34250621166929",,,Military Walk,,
Military Walk,3534039338_5a8fb3dff7_o,"30.615246814973585, -96.34186445463862",,,Military Walk,,
Military Walk,4755092401_76af386d98_o,"30.614466931850135, -96.34113875041153",,,Military Walk,,
Milner,2898146301_7c62312013_o.jpg,"30.61689524555283, -96.34292697462375",,,Side view of Milner,,
Milner,2899042754_2250e520bb_o.jpg,"30.61689524555283, -96.34292697462375",1932?,,Front view of Milner,,
Milner,2898983054_f5defe3062_o.jpg,"30.61689524555283, -96.34292697462375",,,Students on window  of Milner,,
Mitchell Hall,2898234601_096e2ee8b8_o.jpg,"30.61571885280685, -96.342805383742",1932,,Front view of Mitchell Hall,,*Note: 1912-1972; was located roughly where Beutel is now
Mitchell Hall,2899076100_e7aeb403f6_o.jpg,"30.61571885280685, -96.342805383742",1914,,Mitchell Hall with snow,,*Note: 1912-1972; was located roughly where Beutel is now
Mitchell Hall,4636204603_202f7252aa_o.jpg,"30.61571885280685, -96.342805383742",1970,,Students in front of Mitchell Hall,,*Note: 1912-1972; was located roughly where Beutel is now
MSC,3950848111_54339660c7_o.jpg,"30.612287983241778, -96.34152835158513",,,MSC in color,,
MSC,2898275617_c291902d68_o.jpg,"30.612287983241778, -96.34152835158513",,,MSC under construction,,
MSC,2899160982_5de8649400_o.jpg,"30.612287983241778, -96.34152835158513",,,MSC with old cars in front,,
Museum,2898331587_98664f4526_o,"30.61883099628187, -96.33764884680805",,,Museum,,
Museum,2898335229_22567b8e46_o,"30.61883099628187, -96.33764884680805",,,Museum,,
Museum,2898335603_00a6c0ded4_o,"30.61883099628187, -96.33764884680805",,,Museum,,
Museum,4575915836_7f85c31c3f_o,"30.61883099628187, -96.33764884680805",,,Museum,,
Museum,4575924350_50cd1c3132_o,"30.61883099628187, -96.33764884680805",,,Museum,,
Nagle Hall,2898387669_00335f196c_o.jpg,"30.615033874616618, -96.34047440317879",,,Nagle Hall with people in front,,
Nagle Hall,2898389241_6ddd2299d1_o.jpg,"30.615033874616618, -96.34047440317879",,,Front view of Nagle,,
Old Main,3542813635_44511d054e_o.jpg,,,,Corps marching at Old Main,,*Old Main burned 1912
Old Mess Hall,2885679206_4e27f85fc9_o.jpg,"30.615969963845004, -96.34421962699072",1911,,Photo of old mess hall after it burned,,*Note: was located where McFadden Hall now stands; burned 1911
Old Mess Hall,2884842655_67aba552ce_o.jpg,"30.615969963845004, -96.34421962699072",1911,,Students spraying water on Old Mess,,*Note: was located where McFadden Hall now stands; burned 1911
Old Mess Hall,2884842907_44aa33761e_o.jpg,"30.615969963845004, -96.34421962699072",1911,,Mess Hall in ruins,,*Note: was located where McFadden Hall now stands; burned 1911
Old Mess Hall,2884840973_2b6f8af4fd_o.jpg,"30.615969963845004, -96.34421962699072",1900,,Inside of Mess Hall,,*Note: was located where McFadden Hall now stands; burned 1911
Old Mess Hall,2884840165_0024ce3534_o.jpg,"30.615969963845004, -96.34421962699072",1900,,Front View of Mess Hall,,*Note: was located where McFadden Hall now stands; burned 1911
Old Zachry,2944298945_276f2d88bd_o.jpg,"30.621141155951157, -96.34038777476013",1978,,Old Zachry with students in front,,
Old Zachry,2944283493_c40975a7f4_o.jpg,"30.621141155951157, -96.34038777476013",1972,,Old Zachry with old cars in front,,
Old Zachry,2945144860_8c33142dbb_o.jpg,"30.621141155951157, -96.34038777476013",1972,,Zachry under construction,,
Olin E. Teaugue Research Center,3920170547_05aab2be80_o,"30.617042612436833, -96.33610757757626",,,Olin E. Teague Research Center,,
Olin E. Teaugue Research Center,3920171039_d3c359779e_o,"30.617042612436833, -96.33610757757626",,,Olin E. Teague Research Center,,
Olin E. Teaugue Research Center,3920955758_b988376343_o,"30.617042612436833, -96.33610757757626",,,Olin E. Teague Research Center,,
Pavilion,3920157309_54bd842db6_o.jpg,"30.616911066296886, -96.33795384257904",1933,,Distance view of Pavilion,,
Pavilion,2899302842_385225bc0f_o.jpg,"30.616911066296886, -96.33795384257904",,,Close view of Pavilion,,
Pavilion,2899301462_0f424ddccc_o.jpg,"30.616911066296886, -96.33795384257904",,,Cattle inside Pavilion,,
Pavilion,2898456383_a86d70c823_o.jpg,"30.616911066296886, -96.33795384257904",,,Students lined up outside Pavilion,,
Peterson Building,4174276751_138156bfcb_o.jpg,"30.61607390695873, -96.33875466454624",,,Peterson Buildng from a distance with old cars,,
Peterson Building,4174276735_1f75ae3746_o.jpg,"30.61607390695873, -96.33875466454624",,,Peterson Building with sign visible,,
Pfeuffer Hall,4174252695_a96e634ae1_o.jpg,"30.615281632180654, -96.34002950022948",,,Front view of Pfeuffer Hall,,*Note: 1887-1954
Pfeuffer Hall,4174252763_c596a70547_o.jpg,"30.615281632180654, -96.34002950022948",,,Door at Pfeuffer Hall ,,*Note: 1887-1954
Pfeuffer Hall,4175010690_3ea229663a_o.jpg,"30.615281632180654, -96.34002950022948",,,Pfeuffer Hall under construction,,*Note: 1887-1954
Physics Building,3480264413_b4f2a05d6c_o.jpg,"30.614840828439263, -96.33987738098304",1924,,Physics building with snow,,
Physics Building,4175425780_952ee4e76a_o.jpg,"30.614840828439263, -96.33987738098304",,,Physics building close up,,
Physics Building,4174665395_247219de6b_o.jpg,"30.614840828439263, -96.33987738098304",,,Physics building corner view,,
Post Office,4175400998_74ff81af69_o.jpg,"30.619697266248075, -96.34701273157458",1974,,Picture of campus post office,,
President's House,3480306479_7af6f2acd9_o.jpg,"30.61025850682801, -96.3367905404808",,,Area under the President's House,,*Note: 1965-2020
President's House,3534029156_96ee66c587_o.jpg,"30.61025850682801, -96.3367905404808",1891,,Old photo of President's House,,*Note: 1965-2020
Puryear Hall,4114763321_b12e808d67_o.jpg,"30.614808940211795, -96.34320604690157",1980,,Puryear Hall in color,,*Note: Law and Puryear 1928-1997
Ross Hall,4755734018_4ef2ace0ec_o.jpg,"30.615625645682655, -96.34218480870572",1941,,Ross Hall with students ,,
Ross Hall,4793683169_1af46c024e_o.jpg,"30.615625645682655, -96.34218480870572",1946,,Ross Hall front view,,
Ross Hall,4789835187_4fac92b298_o.jpg,"30.615625645682655, -96.34218480870572",1903,,Ross Hall with students standing,,
